NAME,LATITUDE,LONGITUDE
CAPE TENNYSON,76.4243,-79.5498
CARIBOO 01 (CASTLE CREEK),53.045,-120.466
CARIBOO 11 (CASTLE CREEK),53.053,-120.468
CARIBOO 19 (QUANSTROM),52.962,-120.122
CARIBOO 24 (QUANSTROM),52.931,-120.188
CARIBOO 26 (QUANSTROM),52.896,-120.064
CARIBOO 28 (CASTLE CREEK GL),53.03,-120.467
CARIBOO 31 (QUANSTROM),52.884,-120.123
CARROLL,59.189,-136.841
CASTLE CREEK,53.039,-120.457
CASTLE TOWERS,49.941,-122.935
CATHEDRAL,51.4,-116.38
CATHEDRAL,59.3363,-134.103
CEMENT A,61.325,-140.082
CEMENT B,61.324,-140.041
CEMENT C,61.33,-139.993
CEMENT D,61.345,-139.946
CENTRAL ARM A,60.666,-139.114
CHAOS,50.124,-122.716
CHAPMAN,81.4384,-79.8134
CHEAKAMUS,49.929,-122.915
CHITINA,61.116,-140.845
CHITINA SOUTH TRIB 3,61.116,-140.845
CHITINA-LOGAN,60.73,-140.703
CLARENCE HEAD NORTH,76.8144,-77.9415
CLARENCE HEAD SOUTH,76.7142,-78.0391
CLENDENNING,50.42,-123.9
COLLUMBIA ICE FIELD,52.15,-117.3
COLUMBIA CDN 35,52.163,-117.383
CONGRUENT C,61.245,-140.005
CONGRUENT D,61.222,-139.957
CONGRUENT E,61.229,-139.9
CONGRUENT F,61.251,-139.845
CONGRUENT G,61.264,-139.837
CONRAD,50.81,-116.94
CORY,76.3418,-80.1312
COUNT NORTH,61.415,-140.556
COUNT SOUTH,61.387,-140.523
COYOTE,61.233,-140.358
CRUSOE GLACIER,79.46632,-91.15428
CUMBERLAND,51.2,-124.4
CUNNINGHAM WEST,74.6678,-81.6438
CURTAIN,50.044,-122.8
DEBRIS,60.004,-137.557
DECADE,69.63,-68.85
DECADE,69.66,-69.92
DEER LAKE,52.07,-126.17
DETOUR,59.8602,-137.5238
DEVON ICE CAP,75.2,-81.9
DEVON ICE CAP NE,75.5,-80.92
DEVON ICE CAP NW,75.42,-83.25
DEVON ICE CAP SE,75,-81.17
DEVON ICE CAP SW,75.17,-83
DIADEM,51.27,-124.57
DIAVOLO,50.006,-122.802
D'IBERVILLE,80.3547,-76.5299
DISAPPOINTMENT,60.5313,-138.5421
DISRAELI,82.3974,-72.4674
DOBBIN BAY,80.0905,-74.7979
DONJEK,60.979,-139.824
DONJEK A,60.979,-139.824
DONJEK WEST TRIB,60.979,-139.824
DRAMBUIE,80.86,-71.44
DRUMMOND,51.6,-116.58
DUKE,60.9276,-138.9699
DUSTY,60.41,-138.735
DUSTY NORTH TRIB,60.41,-138.735
DYKE,59.82,-137.861
EAST CHABA,52.2,-116.98
EATON,60.73,-140.703
EDWARD,61.116,-140.845
ELEPHANT,59.4888,-136.8025
ELIZA,59.041,-137.318
ELKIN,51.37,-123.85
EMERALD,51.5,-116.53
FDETSAK,60.659,-138.701
FELSITE,60.478,-138.382
FERRIS,59.041,-137.318
FERRIS 1ST SOUTH ,59.041,-137.318
FIORD,78.7774,-90.1616
FISHER,60.0652,-138.5829
FITZSIMMONS,50.042,-122.806
FLEUR D. NEIGES,49.85,-123.6
FLOOD,57.15,-133.1
FORGER,49.932,-122.79
FORREST KERR,56.9,-130.93
FOSTER,61.2423,-140.1813
FRANKLIN,51.25,-125.22
FRESHFIELD,51.77,-115.77
FRIENDLY,51.05,-123.85
FYLES,52.1,-126.23
GIBSON,61.232,-140.087
GOOD FRIDAY,78.715,-91.0786
GRIFFIN,49.85,-122.63
GRINNELL ICE CAP,62.572,-66.805
HA ILTZUK GL 01,51.643,-125.898
HA ILTZUK GL 02,51.635,-125.957
HA ILTZUK GL 03,51.591,-126.036
HA ILTZUK GL 04,51.554,-126.08
HA ILTZUK GL 05,51.494,-126.146
HA ILTZUK GL 06,51.463,-126.204
HA ILTZUK GL 07,51.466,-126.271
HA ILTZUK GL 08,51.467,-126.324
HA ILTZUK GL 09,51.465,-126.357
HA ILTZUK GL 10,51.441,-126.219
HA ILTZUK GL 11,51.411,-126.154
HA ILTZUK GL 12,51.362,-125.987
HA ILTZUK GL 13,51.359,-126.04
HA ILTZUK GL 14,51.275,-125.943
HA ILTZUK GL 15,51.703,-125.711
HA ILTZUK GL 16,51.663,-125.933
HA ILTZUK GL 17,51.676,-125.953
HA ILTZUK GL 18,51.657,-125.961
HA ILTZUK GL 19,51.612,-125.979
HA ILTZUK GL 20,51.595,-125.995
HA ILTZUK GL 21,51.602,-126.155
HA ILTZUK GL 22,51.536,-126.169
HA ILTZUK GL 23,51.551,-126.203
HA ILTZUK GL 24,51.378,-126.17
HA ILTZUK GL 25,51.382,-126.128
HA ILTZUK GL 26,51.354,-126.092
HA ILTZUK GL 27,51.317,-126.092
HA ILTZUK GL 28,51.3,-125.939
HA ILTZUK GL 29,51.291,-125.906
HA ILTZUK ICEFIELD,51.445,-126.07
HARE FIORD EAST ,81.3246,-81.3094
HARE FIORD NORTH ,81.2358,-83.2281
HAREFJORD OUTLET,81.15,-83.33
HAVOC,50.52,-123.88
HAZARD (VIXEN),61.248,-140.419
HECTOR,51.58243,-116.2672
HELM,49.95756,-122.9873
HIDDEN,58.9296,-63.5645
HODGSON,61.2423,-140.1813
HOMATHKO ICEFIELD,51.104,-124.528
HORSTMAN,50.096,-122.844
HOURGLASS,51.03,-122.9
IAGO,50.024,-122.794
